"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.11.2022","108.841","109.036","109.285","107.902","13,20M","-0,18%"
"22.11.2022","109.037","109.750","110.224","107.867","15,06M","-0,65%"
"21.11.2022","109.748","108.868","110.235","107.957","16,65M","0,81%"
"18.11.2022","108.870","109.706","111.585","108.512","18,77M","-0,76%"
"17.11.2022","109.703","110.241","110.242","107.245","23,12M","-0,49%"
"16.11.2022","110.243","113.166","113.473","109.512","18,35M","-2,58%"
"14.11.2022","113.161","112.256","114.322","111.930","15,08M","0,81%"
"11.11.2022","112.253","109.775","113.010","109.408","25,04M","2,26%"
"10.11.2022","109.775","113.579","113.579","108.516","26,03M","-3,35%"
"09.11.2022","113.580","116.153","116.183","113.110","20,53M","-2,22%"
"08.11.2022","116.160","115.340","117.072","114.688","14,24M","0,71%"
"07.11.2022","115.342","118.148","118.240","115.221","15,22M","-2,38%"
"04.11.2022","118.155","116.907","120.039","116.904","16,21M","1,08%"
"03.11.2022","116.896","116.927","117.373","114.485","15,63M","-0,03%"
"01.11.2022","116.929","116.037","118.261","115.547","17,97M","0,77%"
"31.10.2022","116.037","114.533","116.763","112.113","21,64M","1,31%"
"28.10.2022","114.539","114.636","114.712","113.336","14,39M","-0,09%"
"27.10.2022","114.641","112.766","116.236","112.765","15,53M","1,66%"
"26.10.2022","112.764","114.626","114.626","112.577","16,09M","-1,62%"
"25.10.2022","114.626","116.016","116.203","114.626","14,73M","-1,20%"
"24.10.2022","116.013","119.922","119.924","115.793","13,28M","-3,27%"